Timestamp_MS,Angulo,PWM_Reportado,Modo,Escalon_Set,Timestamp_Python
5627130,30.53,36.0,MANUAL,36,1775686367.215
5627140,30.48,36.0,MANUAL,36,1775686367.2246
5627150,30.54,36.0,MANUAL,36,1775686367.2347
5627160,30.62,36.0,MANUAL,36,1775686367.2447
5627170,30.55,36.0,MANUAL,36,1775686367.2547
5627180,30.51,36.0,MANUAL,36,1775686367.2646
5627190,30.50,36.0,MANUAL,36,1775686367.2746
5627200,30.63,36.0,MANUAL,36,1775686367.2845
5627210,30.59,36.0,MANUAL,36,1775686367.2945
5627220,30.54,36.0,MANUAL,36,1775686367.3047
5627230,30.50,36.0,MANUAL,36,1775686367.3148
5627240,30.62,36.0,MANUAL,36,1775686367.3251
5627250,30.62,36.0,MANUAL,36,1775686367.3347
5627260,30.53,36.0,MANUAL,36,1775686367.3446
5627270,30.49,36.0,MANUAL,36,1775686367.3547
5627280,30.56,36.0,MANUAL,36,1775686367.3647
5627290,30.62,36.0,MANUAL,36,1775686367.3747
5627300,30.54,36.0,MANUAL,36,1775686367.3847
5627310,30.50,36.0,MANUAL,36,1775686367.3947
5627320,30.51,36.0,MANUAL,36,1775686367.4046
5627330,30.62,36.0,MANUAL,36,1775686367.4147
5627340,30.57,36.0,MANUAL,36,1775686367.4246
5627350,30.52,36.0,MANUAL,36,1775686367.4349
5627360,30.48,36.0,MANUAL,36,1775686367.4448
5627370,30.61,36.0,MANUAL,36,1775686367.4549
5627380,30.59,36.0,MANUAL,36,1775686367.4643
5627390,30.52,36.0,MANUAL,36,1775686367.4741
5627400,30.48,36.0,MANUAL,36,1775686367.4843
5627410,30.57,36.0,MANUAL,36,1775686367.4946
5627420,30.61,36.0,MANUAL,36,1775686367.5047
5627430,30.52,36.0,MANUAL,36,1775686367.5148
5627440,30.48,36.0,MANUAL,36,1775686367.5249
5627450,30.51,36.0,MANUAL,36,1775686367.5347
5627460,30.60,36.0,MANUAL,36,1775686367.5448
5627470,30.54,36.0,MANUAL,36,1775686367.5547
5627480,30.51,36.0,MANUAL,36,1775686367.5644
5627490,30.48,36.0,MANUAL,36,1775686367.5741
5627500,30.59,36.0,MANUAL,36,1775686367.5848
5627510,30.61,36.0,MANUAL,36,1775686367.5947
5627520,30.52,36.0,MANUAL,36,1775686367.6047
5627530,30.49,36.0,MANUAL,36,1775686367.6147
5627540,30.53,36.0,MANUAL,36,1775686367.6248
5627550,30.60,36.0,MANUAL,36,1775686367.6349
5627560,30.53,36.0,MANUAL,36,1775686367.6447
5627570,30.49,36.0,MANUAL,36,1775686367.6546
5627580,30.48,36.0,MANUAL,36,1775686367.6647
5627590,30.60,36.0,MANUAL,36,1775686367.6747
5627600,30.56,36.0,MANUAL,36,1775686367.6847
5627610,30.51,36.0,MANUAL,36,1775686367.6947
5627620,30.47,36.0,MANUAL,36,1775686367.7047
5627630,30.59,36.0,MANUAL,36,1775686367.7147
5627640,30.60,36.0,MANUAL,36,1775686367.7247
5627650,30.52,36.0,MANUAL,36,1775686367.7347
5627660,30.48,36.0,MANUAL,36,1775686367.7447
5627670,30.55,36.0,MANUAL,36,1775686367.7547
5627680,30.61,36.0,MANUAL,36,1775686367.7647
5627690,30.53,36.0,MANUAL,36,1775686367.7746
5627700,30.50,36.0,MANUAL,36,1775686367.7847
5627710,30.50,36.0,MANUAL,36,1775686367.7947
5627720,30.60,36.0,MANUAL,36,1775686367.8045
5627730,30.55,36.0,MANUAL,36,1775686367.8148
5627740,30.51,36.0,MANUAL,36,1775686367.8245
5627750,30.47,36.0,MANUAL,36,1775686367.8348
5627760,30.59,36.0,MANUAL,36,1775686367.8446
5627770,30.59,36.0,MANUAL,36,1775686367.8543
5627780,30.51,36.0,MANUAL,36,1775686367.8644
5627790,30.48,36.0,MANUAL,36,1775686367.8746
5627800,30.57,36.0,MANUAL,36,1775686367.8847
5627810,30.61,36.0,MANUAL,36,1775686367.8942
5627820,30.53,36.0,MANUAL,36,1775686367.904
5627830,30.51,36.0,MANUAL,36,1775686367.9142
5627840,30.53,36.0,MANUAL,36,1775686367.9241
5627850,30.62,36.0,MANUAL,36,1775686367.9342
5627860,30.55,36.0,MANUAL,36,1775686367.944
5627870,30.52,36.0,MANUAL,36,1775686367.954
5627880,30.49,36.0,MANUAL,36,1775686367.9641
5627890,30.61,36.0,MANUAL,36,1775686367.9744
5627900,30.58,36.0,MANUAL,36,1775686367.9842
5627910,30.52,36.0,MANUAL,36,1775686367.994
5627920,30.50,36.0,MANUAL,36,1775686368.0041
5627930,30.55,36.0,MANUAL,36,1775686368.0144
5627940,30.63,36.0,MANUAL,36,1775686368.0249
5627950,30.55,36.0,MANUAL,36,1775686368.0346
5627960,30.53,36.0,MANUAL,36,1775686368.0447
5627970,30.51,36.0,MANUAL,36,1775686368.0547
5627980,30.63,36.0,MANUAL,36,1775686368.0647
5627990,30.60,36.0,MANUAL,36,1775686368.0746
5628000,30.54,36.0,MANUAL,36,1775686368.0846
5628010,30.51,36.0,MANUAL,36,1775686368.0946
5628020,30.62,36.0,MANUAL,36,1775686368.1046
5628030,30.64,36.0,MANUAL,36,1775686368.1146
5628040,30.53,36.0,MANUAL,36,1775686368.1246
5628050,30.50,36.0,MANUAL,36,1775686368.135
5628060,30.57,36.0,MANUAL,36,1775686368.1446
5628070,30.63,36.0,MANUAL,36,1775686368.1547
