t_s,ref,angulo,error,bias,d,epsilon,u,Timestamp_Python
1.077,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9577
1.087,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9678
1.097,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9787
1.108,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9887
1.118,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747969.9991
1.129,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0095
1.139,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0204
1.15,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0306
1.16,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0408
1.17,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0513
1.18,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0615
1.191,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0717
1.201,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0823
1.212,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.0928
1.222,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1032
1.232,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1134
1.243,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1236
1.253,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.134
1.263,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1444
1.273,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1546
1.284,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1648
1.294,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1751
1.304,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1853
1.314,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.1954
1.325,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2057
1.335,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2162
1.345,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2267
1.356,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2371
1.366,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2474
1.377,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2578
1.387,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2679
1.397,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2784
1.408,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.2887
1.418,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.299
1.428,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.3096
1.439,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.3201
1.449,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.3306
1.46,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.3411
1.47,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.3515
1.481,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.362
1.491,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.3721
1.501,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.3824
1.511,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.3925
1.522,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.4028
1.532,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.4131
1.543,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.4236
1.553,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.4342
1.563,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.4443
1.574,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.4545
1.584,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.465
1.594,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.4751
1.605,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.4858
1.615,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.4963
1.626,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.5067
1.636,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.5171
1.646,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.5273
1.657,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.5375
1.667,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.5476
1.677,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.5579
1.687,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.568
1.697,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.5782
1.708,15.0,-0.36,15.36,1.0,1.0,3.0,2.0,1775747970.5887
1.718,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.5988
1.728,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6091
1.738,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6196
1.749,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.63
1.759,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6404
1.769,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6506
1.78,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6609
1.79,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.6714
1.801,15.0,-0.35,15.35,1.0,1.0,3.0,2.0,1775747970.682
