Timestamp_MS,Angulo,PWM,Modo
799320,0.82,0.0,IDLE
799330,0.82,0.0,IDLE
799340,0.83,0.0,IDLE
799350,0.83,0.0,IDLE
799360,0.83,0.0,IDLE
799370,0.83,0.0,IDLE
799380,0.83,0.0,IDLE
799390,0.83,0.0,IDLE
799400,0.83,0.0,IDLE
799410,0.82,0.0,IDLE
799420,0.82,0.0,IDLE
799430,0.82,0.0,IDLE
799440,0.82,0.0,IDLE
799450,0.82,0.0,IDLE
799460,0.82,0.0,IDLE
799470,0.83,0.0,IDLE
799480,0.83,0.0,IDLE
799490,0.83,0.0,IDLE
799500,0.83,0.0,IDLE
799510,0.83,0.0,IDLE
799520,0.83,0.0,IDLE
799530,0.82,0.0,IDLE
799540,0.82,0.0,IDLE
799550,0.82,0.0,IDLE
799560,0.82,0.0,IDLE
799570,0.83,0.0,IDLE
799580,0.83,0.0,IDLE
799590,0.83,0.0,IDLE
799600,0.83,0.0,IDLE
799610,0.83,0.0,IDLE
799620,0.83,0.0,IDLE
799630,0.83,0.0,IDLE
799640,0.83,0.0,IDLE
799650,0.82,0.0,IDLE
799660,0.82,0.0,IDLE
799670,0.82,0.0,IDLE
799680,0.83,0.0,IDLE
799690,0.83,0.0,IDLE
799700,0.83,0.0,IDLE
799710,0.83,0.0,IDLE
799720,0.83,0.0,IDLE
799730,0.83,0.0,IDLE
799740,0.83,0.0,IDLE
799750,0.83,0.0,IDLE
799760,0.83,0.0,IDLE
799770,0.82,0.0,IDLE
799780,0.82,0.0,IDLE
799790,0.82,0.0,IDLE
799800,0.82,0.0,IDLE
799810,0.83,0.0,IDLE
799820,0.83,0.0,IDLE
799830,0.83,0.0,IDLE
799840,0.83,0.0,IDLE
799850,0.83,0.0,IDLE
799860,0.83,0.0,IDLE
799870,0.83,0.0,IDLE
799880,0.83,0.0,IDLE
799890,0.83,0.0,IDLE
799900,0.83,0.0,IDLE
799910,0.83,0.0,IDLE
799920,0.83,0.0,IDLE
799930,0.83,0.0,IDLE
799940,0.83,0.0,IDLE
799950,0.83,0.0,IDLE
799960,0.83,0.0,IDLE
799970,0.83,0.0,IDLE
799980,0.83,0.0,IDLE
799990,0.83,0.0,IDLE
800000,0.83,0.0,IDLE
800010,0.83,0.0,IDLE
800020,0.83,0.0,IDLE
800030,0.83,0.0,IDLE
800040,0.83,0.0,IDLE
800050,0.83,0.0,IDLE
800060,0.83,0.0,IDLE
800070,0.83,0.0,IDLE
800080,0.83,0.0,IDLE
800090,0.83,0.0,IDLE
800100,0.83,0.0,IDLE
800110,0.83,0.0,IDLE
800120,0.83,0.0,IDLE
800130,0.83,0.0,IDLE
800140,0.83,0.0,IDLE
